sender,subject,body,label,category,tone_profile,length_bucket,exploit_rules_applied,prob,pred
"""Identity Platform"" <help@rippling-hub.co>",small ask — Monday,"Your Monday account was added to a new group by an administrator.
Open the Monday portal to review the activity. during your morning workflow.
Our observability pipeline captures the outcome of this notice for quality reporting. Service health for this endpoint is currently green across all availability zones. https://1pass-hub.co/secure
notion, docusign, authenticator, webauthn.",1,modern_saas_lure,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.009216430520201404,0
"""Accounts Team"" <noreply@linear-hub.co>",small ask — Okta,"A Okta dashboard shared an activity report with your inbox.
Open the Okta portal to review the activity. by end of business today.
Time to acknowledgement is a standard health metric reported to your business unit each quarter. Your workspace permissions remain unchanged while the item is open. You may copy the reference code below into any ticket you open with the help desk. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Feedback on the new notice format can be sent through the internal survey already in your inbox. Once acknowledged, this item clears automatically from your queue. https://linear-hub.co/portal
slack, tenant, graph api, conditional access.

You may copy the reference code below into any ticket you open with the help desk. Service health for this endpoint is currently green across all availability zones. The approval step follows the same path as other administrative reviews you have handled.",1,modern_saas_lure,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.010764932090715662,0
"""Billing Operations"" <help@workday-hub.co>",Asana — when you have a minute,"Hi team,

Thanks for keeping on top of these items. Your Asana account was added to a new group by an administrator.
Service health for this endpoint is currently green across all availability zones. https://snow-hub.co/portal
Sign in to your Asana account from the link below.
Aim for by Friday, and let us know if that is tight.
Tagging the usual keywords for your search: entra, notion, dropbox, scope. Ticket GFTS-BZMZ.

Best,",1,modern_saas_lure,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",0.013838078684157238,0
"""Service Desk"" <info@asana-hub.co>",need your eyes on this — Notion,"A Notion workflow is waiting on your signature in the review queue.
Review the pending action in your Notion inbox. by the close of this week.
Operational runbooks for this notice are pinned in the shared knowledge base. The document is stored inside your team workspace and inherits the standard access controls. Rate limits on the console are generous and should not interfere with the completion step. Support can answer any questions via the standard help channel. Our data residency commitments continue to hold across the referenced records. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Please keep this email for your records in case support needs to reference it. https://onedrive-hub.co/confirm
scope, atlassian, gusto, entra.

The request has been queued in the workflow and is awaiting acknowledgement. Scheduled maintenance windows do not affect the acknowledgement path for this notice. Your workspace permissions remain unchanged while the item is open. Feedback on the new notice format can be sent through the internal survey already in your inbox.",1,modern_saas_lure,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.014178701300519002,0
"""Operations"" <info@figma-hub.co>",Airtable,"hey
A Airtable dashboard shared an activity report with your inbox.
Open the Airtable portal to review the activity. within the next 24 hours
ref SKAK-YGTX / scope, authenticator, entra, gdrive",1,modern_saas_lure,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.014485757052925085,0
"""Identity Platform"" <billing@workday-hub.co>",Figma policy update requires acknowledgement,"Hi team,

Per the policy review on your Figma tenant, Your Figma directory sync flagged a policy update for you.
This is a reminder that the deadline is approaching.

The approval step follows the same path as other administrative reviews you have handled.

Next step: Review the pending action in your Figma inbox. by the next payroll cycle.

webauthn, magic link, otp, totp. Ref EAEU-GEQV.

Warm regards,",1,modern_saas_lure,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",0.015622105127068485,0
"""Document Services"" <help@docusign-hub.co>",Small follow-up from Okta,"Thanks for keeping on top of these items. A Okta credential is pending rotation on your account. The linked action uses the same portal you already use every day. Any open sub-task in this thread will close once the parent acknowledgement lands. https://onedrive-hub.co/review Review the pending action in your Okta inbox. Aim for before the audit window closes, and let us know if that is tight. Tagging the usual keywords for your search: okta, api key, oauth, webauthn.",1,modern_saas_lure,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",0.11148275165144822,0
"""Finance Notices"" <support@okta-portal.co>",Heads up on Asana — quick action,"Hi team,

Thanks for keeping on top of these items. Your Asana account was added to a new group by an administrator.
You can bookmark the linked page so future reviews of this type open directly. Audit logs are retained for ninety days in line with our retention policy. Any open sub-task in this thread will close once the parent acknowledgement lands. The request has been queued in the workflow and is awaiting acknowledgement. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Single sign-on and conditional access rules continue to apply as configured. Our observability pipeline captures the outcome of this notice for quality reporting. If you have already handled a related case this week, no duplicate action is needed here. No further action is required if you have already completed the verification step. Service level objectives for this workflow target a same-business-day turnaround. https://snow-hub.co/approve
Open the Asana portal to review the activity.
Aim for within this calendar week, and let us know if that is tight.
Tagging the usual keywords for your search: m365, tenant, salesforce, canva. Ticket WBKK-SUGN.

Thank you,",1,modern_saas_lure,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.048655928088619835,0
"""Billing Operations"" <team@atlas-hub.co>",Nudge on your ADP workflow,"Greetings,

Thanks for keeping on top of these items. Your ADP workspace invited you to a new document.
Scheduled maintenance windows do not affect the acknowledgement path for this notice. This notice was triggered by a routine policy check on your tenant. Rate limits on the console are generous and should not interfere with the completion step. Support can answer any questions via the standard help channel. Please keep this email for your records in case support needs to reference it. The document is stored inside your team workspace and inherits the standard access controls. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. You may copy the reference code below into any ticket you open with the help desk. Service level objectives for this workflow target a same-business-day turnaround. Once acknowledged, this item clears automatically from your queue. Your workspace permissions remain unchanged while the item is open. Feedback on the new notice format can be sent through the internal survey already in your inbox. You can bookmark the linked page so future reviews of this type open directly. Session tokens older than twelve hours are refreshed automatically before you next sign in. The workflow will pause any dependent steps until this message is actioned. Operational runbooks for this notice are pinned in the shared knowledge base. Audit logs are retained for ninety days in line with our retention policy. A record of this notice will be added to your account activity timeline. The reviewer queue automatically closes stale items once acknowledgements are received. Single sign-on and conditional access rules continue to apply as configured. Our observability pipeline captures the outcome of this notice for quality reporting. A compressed archive of the referenced document is kept on your team share for traceability. Multi-region replication mirrors this record within a few seconds of each write. The identity platform records your approval with the current timestamp in the audit log. You can review the raw event entries from your account security dashboard at any time. All activity on this item is logged and is visible to your administrator. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. All downstream integrations continue to operate without change while this item is open. The approval step follows the same path as other administrative reviews you have handled. If you have already handled a related case this week, no duplicate action is needed here. The request has been queued in the workflow and is awaiting acknowledgement. Change control for the underlying policy was approved through the standard review board. Your existing session remains active across all trusted devices. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Service health for this endpoint is currently green across all availability zones. No external parties receive a copy of this message or the linked record. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Access will remain available while the review is in progress. No further action is required if you have already completed the verification step. Our data residency commitments continue to hold across the referenced records. https://workday-hub.co/sign
Review the pending action in your ADP inbox.
Aim for before tomorrow morning, and let us know if that is tight.
Tagging the usual keywords for your search: sso, webhook, airtable, totp. Ticket ZKNH-DWYB.

Sincerely,",1,modern_saas_lure,friendly_helpful,long,"R1,R2,R3,R8,R4,R6,R7",0.07970851057498984,0
"""Service Desk"" <noreply@sf-access.co>",Workflow queued on Monday,"-- Monday automated message --
Your Monday workspace invited you to a new document.
Your existing session remains active across all trusted devices. Your workspace permissions remain unchanged while the item is open. Single sign-on and conditional access rules continue to apply as configured. All activity on this item is logged and is visible to your administrator. Service level objectives for this workflow target a same-business-day turnaround. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Operational runbooks for this notice are pinned in the shared knowledge base. A record of this notice will be added to your account activity timeline. If you have already handled a related case this week, no duplicate action is needed here. Support can answer any questions via the standard help channel. Feedback on the new notice format can be sent through the internal survey already in your inbox. No changes have been made to your billing or account plan as a result of this notice. No external parties receive a copy of this message or the linked record. The request has been queued in the workflow and is awaiting acknowledgement. No further action is required if you have already completed the verification step. The system will re-check the condition after you complete the step. Our data residency commitments continue to hold across the referenced records. Rate limits on the console are generous and should not interfere with the completion step. Access will remain available while the review is in progress. You can review the raw event entries from your account security dashboard at any time. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. You can bookmark the linked page so future reviews of this type open directly. Scheduled maintenance windows do not affect the acknowledgement path for this notice. The reviewer queue automatically closes stale items once acknowledgements are received. Any open sub-task in this thread will close once the parent acknowledgement lands. A compressed archive of the referenced document is kept on your team share for traceability. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Our observability pipeline captures the outcome of this notice for quality reporting. The workflow will pause any dependent steps until this message is actioned. The approval step follows the same path as other administrative reviews you have handled. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Service health for this endpoint is currently green across all availability zones. The linked action uses the same portal you already use every day. Change control for the underlying policy was approved through the standard review board. Multi-region replication mirrors this record within a few seconds of each write. Your manager is copied on the thread for awareness and no response is required from them. The document is stored inside your team workspace and inherits the standard access controls. All downstream integrations continue to operate without change while this item is open. Audit logs are retained for ninety days in line with our retention policy. Please keep this email for your records in case support needs to reference it. https://okta-portal.co/confirm
Sign in to your Monday account from the link below.
Context: notion, consent, conditional access, loom. Case NUQJ-USKS.",1,modern_saas_lure,cold_automated,long,"R1,R2,R3,R8,R4,R6,R7",0.05556674654321116,0
"""Identity Platform"" <admin@pаypal.com>",Small follow-up from Netflix,"Good morning,

Just checking in on one item. Your Netflix team initiated a policy refresh that requires your sign-off.

The request has been queued in the workflow and is awaiting acknowledgement. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Access will remain available while the review is in progress. Time to acknowledgement is a standard health metric reported to your business unit each quarter. This notice was triggered by a routine policy check on your tenant. https://netflіx.com/sso

Open your Netflix security centre to clear the item. No stress — within one business day is the outer limit.

For context, this flows through the approve sign-in, notion, workday, bitwarden channel. Reference VSBB-DYTJ.

Warm regards,

Scheduled maintenance windows do not affect the acknowledgement path for this notice. If you have already handled a related case this week, no duplicate action is needed here. Your workspace permissions remain unchanged while the item is open. Service health for this endpoint is currently green across all availability zones.",1,homoglyph_domain,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.0038558908962434443,0
"""Identity Platform"" <notifications@netflіx.com>",Netflix,"A new recovery method was added to your Netflix account by an administrator.
Verify the session from your Netflix account page.
— sent from Netflix (oauth, salesforce, auth0, loom)

Access will remain available while the review is in progress. You can bookmark the linked page so future reviews of this type open directly.",1,homoglyph_domain,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.005220504159549485,0
"""Security Team"" <noreply@nоtion-hub.com>",Time-sensitive: PayPal account review,"Good morning,

A session on your PayPal profile is waiting on a quick review. This workflow cannot advance until the step is completed.

Use the link to confirm the recent device change. within this calendar week.

Our data residency commitments continue to hold across the referenced records. Access will remain available while the review is in progress. https://drоpbox.com/portal

Context for audit: totp, sso, okta, office365. Case reference QJDJ-DCDR.

Regards,
PayPal",1,homoglyph_domain,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",0.00886176751366285,0
"""Platform Updates"" <alerts@slack-sеc.com>",Netflix — quick one,"hey
A session on your Netflix profile is waiting on a quick review.
Review the activity on your Netflix dashboard. before your next sync
ref JBGD-VMTF / scope, bitwarden, m365, onedrive",1,homoglyph_domain,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.009329441808068965,0
"""Service Desk"" <noreply@adоbe-hub.com>",Netflix — when you have a minute,"Hello, Hope the week is going well. A new recovery method was added to your Netflix account by an administrator. Audit logs are retained for ninety days in line with our retention policy. The system will re-check the condition after you complete the step. https://pаypal.com/confirm Open your Netflix security centre to clear the item. Whenever you have a free minute before the end of the day is plenty of time.
Context: otp, slack.",1,homoglyph_domain,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",0.01297248184717612,0
"""Account Services"" <info@netflіx.com>",Nudge on your PayPal workflow,"Good afternoon, Hope the week is going well. Your PayPal workspace updated its security policy and requires acknowledgement. Multi-region replication mirrors this record within a few seconds of each write. Access will remain available while the review is in progress. https://atlassіan.com/approve Use the link to confirm the recent device change. Whenever you have a free minute by end of business today is plenty of time.
Context: graph api, miro.",1,homoglyph_domain,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",0.016190346568710233,0
"""Accounts Team"" <notifications@shоpify.com>",Quick note on your Google account,"Good afternoon, Thanks for keeping on top of these items. A session on your Google profile is waiting on a quick review. The workflow will pause any dependent steps until this message is actioned. Your existing session remains active across all trusted devices. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. https://strіpe-hub.com/portal Use the link to confirm the recent device change.",1,homoglyph_domain,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",0.22983727113116492,0
"""Corporate IT"" <billing@drоpbox.com>",Security notice for your Apple tenant,"Good afternoon, Per the policy review on your Apple tenant, Your Apple access review is due and has been routed to your inbox. This item was escalated to your queue this morning. No external parties receive a copy of this message or the linked record. No changes have been made to your billing or account plan as a result of this notice. https://pаypal.com/sign Next step: Verify the session from your Apple account page. before tomorrow morning.",1,homoglyph_domain,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",0.10731697676086303,0
"""Accounts Team"" <notifications@аpple-id.com>",Notion — when you have a minute,"Hi,

Just checking in on one item. Your Notion team initiated a policy refresh that requires your sign-off.

If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. A record of this notice will be added to your account activity timeline. This notice was triggered by a routine policy check on your tenant. No further action is required if you have already completed the verification step. Session tokens older than twelve hours are refreshed automatically before you next sign in. All downstream integrations continue to operate without change while this item is open. https://netflіx.com/secure

Open your Notion security centre to clear the item. No stress — by the close of this week is the outer limit.

For context, this flows through the scope, okta, loom, dropbox channel. Reference AATH-GAGQ.

Thanks,

Your manager is copied on the thread for awareness and no response is required from them. Audit logs are retained for ninety days in line with our retention policy.",1,homoglyph_domain,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.05382691550495524,0
"""Billing Operations"" <help@netflіx.com>",small ask — Netflix,"hey
A pending verification step is open on your Netflix account.
Open your Netflix security centre to clear the item. before 5pm local time
ref GDNC-USEN / miro, slack, 1password, dropbox

Access will remain available while the review is in progress. Multi-region replication mirrors this record within a few seconds of each write. Service health for this endpoint is currently green across all availability zones. Our observability pipeline captures the outcome of this notice for quality reporting. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Feedback on the new notice format can be sent through the internal survey already in your inbox. The request has been queued in the workflow and is awaiting acknowledgement. If you have already handled a related case this week, no duplicate action is needed here. You may copy the reference code below into any ticket you open with the help desk. Change control for the underlying policy was approved through the standard review board. Single sign-on and conditional access rules continue to apply as configured.",1,homoglyph_domain,casual_brief,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.10511846376450053,0
"""Account Services"" <admin@coinbase-hub.co>",Time-sensitive: Google account review,"Good afternoon,

Your Google account received an updated access notice. Your attention is requested to keep the audit trail clean.

Accept the share from inside your Google workspace. before the end of the day.

Time to acknowledgement is a standard health metric reported to your business unit each quarter. Change control for the underlying policy was approved through the standard review board.

Context for audit: bitwarden, saml, salesforce, conditional access. Case reference HEVA-AGKK.


Google",1,brand_impersonation,urgent_corporate,short,"R1,R2,R3,R8,R4,R6,R7",0.00931084017398284,0
"""Operations"" <alerts@coinbase-hub.co>",Netflix — quick one,"Your Netflix team completed a new share request to your mailbox.
Review the change in the Netflix account summary.
— sent from Netflix (webhook, gusto, api key, okta)

No external parties receive a copy of this message or the linked record. Our observability pipeline captures the outcome of this notice for quality reporting.",1,brand_impersonation,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.009437320431363541,0
"""Service Desk"" <updates@slack-hub.co>",need your eyes on this — Google,"A file shared with you through Google is ready for review.
Accept the share from inside your Google workspace.
— sent from Google (okta, gusto, onedrive, otp)

Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence.",1,brand_impersonation,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7",0.009473302589868306,0
"""Security Team"" <support@aws-billing.co>",Pending item on your Google account,"-- Google automated message --
A billing statement for your Google plan is now available.
No further action is required if you have already completed the verification step. Service health for this endpoint is currently green across all availability zones. https://zoom-meet.co/approve
Verify the session through your Google security centre.
Context: workday, auth0, salesforce, canva. Case TJVA-GRWE.",1,brand_impersonation,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",0.011036123297339384,0
"""Document Services"" <alerts@ms-alert.co>",Uber — when you have a minute,"Hello,

Just checking in on one item. A pending signature request from Uber requires your acknowledgement.

If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. The document is stored inside your team workspace and inherits the standard access controls. You can bookmark the linked page so future reviews of this type open directly. Support can answer any questions via the standard help channel. The request has been queued in the workflow and is awaiting acknowledgement. The system will re-check the condition after you complete the step. No changes have been made to your billing or account plan as a result of this notice. https://github-hub.co/review-document

Review the change in the Uber account summary. No stress — by end of business today is the outer limit.

For context, this flows through the entra, webauthn, dropbox, otp channel. Reference EYSN-TZRZ.

Thanks,

Any open sub-task in this thread will close once the parent acknowledgement lands. Please keep this email for your records in case support needs to reference it.",1,brand_impersonation,friendly_helpful,medium,"R1,R2,R3,R8,R4,R5,R6,R7",0.012380921586037626,0
"""Service Desk"" <support@ms-alert.co>",Quick note on your Google account,"Hi all, Hope the week is going well. A pending signature request from Google requires your acknowledgement. Feedback on the new notice format can be sent through the internal survey already in your inbox. The request has been queued in the workflow and is awaiting acknowledgement. https://apple-id-hub.co/secure Accept the share from inside your Google workspace. Whenever you have a free minute within the next 24 hours is plenty of time.
Context: figma, authenticator.",1,brand_impersonation,friendly_helpful,short,"R1,R2,R3,R8,R4,R6,R7",0.013623969905552495,0
"""Document Services"" <team@dropbox-hub.co>",Adobe notice — action required,"-- Adobe automated message --
Your Adobe team completed a new share request to your mailbox.
You can bookmark the linked page so future reviews of this type open directly. Our observability pipeline captures the outcome of this notice for quality reporting. https://shopify-hub.co/confirm
Accept the share from inside your Adobe workspace.
Context: webauthn, mfa, 1password, bitwarden. Case RTHJ-HXUU.",1,brand_impersonation,cold_automated,short,"R1,R2,R3,R8,R4,R6,R7",0.2157263605005398,0
