sender,subject,body,label,category,tone_profile,length_bucket,exploit_rules_applied,notes
"""IT Services"" <notifications@consent-hub.co>",Time-sensitive: Slack Enterprise account review,"Hi,

A new third-party application has requested access to your Slack Enterprise tenant. This item was escalated to your queue this morning.

Use the identity admin panel to finish the approval step. by the close of this week.

Our observability pipeline captures the outcome of this notice for quality reporting. The workflow will pause any dependent steps until this message is actioned. Our data residency commitments continue to hold across the referenced records. Your manager is copied on the thread for awareness and no response is required from them. Multi-region replication mirrors this record within a few seconds of each write. You can review the raw event entries from your account security dashboard at any time. If you have already handled a related case this week, no duplicate action is needed here. Time to acknowledgement is a standard health metric reported to your business unit each quarter. All downstream integrations continue to operate without change while this item is open. No external parties receive a copy of this message or the linked record. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. A record of this notice will be added to your account activity timeline. This notice was triggered by a routine policy check on your tenant. The system will re-check the condition after you complete the step. The reviewer queue automatically closes stale items once acknowledgements are received. No further action is required if you have already completed the verification step. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. Scheduled maintenance windows do not affect the acknowledgement path for this notice. Your workspace permissions remain unchanged while the item is open. Access will remain available while the review is in progress. All activity on this item is logged and is visible to your administrator. Once acknowledged, this item clears automatically from your queue. Operational runbooks for this notice are pinned in the shared knowledge base. Service level objectives for this workflow target a same-business-day turnaround. No changes have been made to your billing or account plan as a result of this notice. Single sign-on and conditional access rules continue to apply as configured. The linked action uses the same portal you already use every day. Support can answer any questions via the standard help channel. Your existing session remains active across all trusted devices. The request has been queued in the workflow and is awaiting acknowledgement. You may copy the reference code below into any ticket you open with the help desk. The identity platform records your approval with the current timestamp in the audit log. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Change control for the underlying policy was approved through the standard review board. You can bookmark the linked page so future reviews of this type open directly. Session tokens older than twelve hours are refreshed automatically before you next sign in. Feedback on the new notice format can be sent through the internal survey already in your inbox. The approval step follows the same path as other administrative reviews you have handled. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Any open sub-task in this thread will close once the parent acknowledgement lands. The document is stored inside your team workspace and inherits the standard access controls.

Context for audit: entra, consent, m365, loom. Case reference SHTV-GERD.

Thank you,
Slack Enterprise",1,oauth_phishing,urgent_corporate,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Finance Notices"" <alerts@tenant-hub.co>",Slack Enterprise,"An approve sign-in prompt is waiting on your Slack Enterprise conditional access policy.
Use the identity admin panel to finish the approval step.
— sent from Slack Enterprise (adp, passkey, saml, gusto)",1,oauth_phishing,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Workspace Admin"" <admin@ms365-hub.co>",Google OAuth — reference FZVJ-NMKE,"Notification from Google OAuth.
An approve sign-in prompt is waiting on your Google OAuth conditional access policy.
The attached item is flagged for same-day review.
Confirm the consent from your identity portal.
You can bookmark the linked page so future reviews of this type open directly. Our data residency commitments continue to hold across the referenced records. Your workspace permissions remain unchanged while the item is open. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Your existing session remains active across all trusted devices. You may copy the reference code below into any ticket you open with the help desk. Access will remain available while the review is in progress. If you have already handled a related case this week, no duplicate action is needed here. Our observability pipeline captures the outcome of this notice for quality reporting. https://entra-login.co/confirm
Session id: GCAA-JENA. Keywords: conditional access, gdrive, zero trust, passkey.",1,oauth_phishing,cold_automated,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Accounts Team"" <alerts@login-portal.co>",LastPass Business — quick one,"Your LastPass Business account received an oauth consent request that requires approval.
Approve or decline the grant from your LastPass Business console. by end of business today.
Your existing session remains active across all trusted devices. The system will re-check the condition after you complete the step. Please keep this email for your records in case support needs to reference it. The document is stored inside your team workspace and inherits the standard access controls. Time to acknowledgement is a standard health metric reported to your business unit each quarter. No external parties receive a copy of this message or the linked record. Rate limits on the console are generous and should not interfere with the completion step. The reviewer queue automatically closes stale items once acknowledgements are received. Once acknowledged, this item clears automatically from your queue. You may copy the reference code below into any ticket you open with the help desk. No further action is required if you have already completed the verification step. Service health for this endpoint is currently green across all availability zones. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Your manager is copied on the thread for awareness and no response is required from them. The linked action uses the same portal you already use every day. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. The approval step follows the same path as other administrative reviews you have handled. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. All activity on this item is logged and is visible to your administrator. Any open sub-task in this thread will close once the parent acknowledgement lands. Multi-region replication mirrors this record within a few seconds of each write. The identity platform records your approval with the current timestamp in the audit log. Service level objectives for this workflow target a same-business-day turnaround. This notice was triggered by a routine policy check on your tenant. Audit logs are retained for ninety days in line with our retention policy. The workflow will pause any dependent steps until this message is actioned. Access will remain available while the review is in progress. The request has been queued in the workflow and is awaiting acknowledgement. Support can answer any questions via the standard help channel. A record of this notice will be added to your account activity timeline. Our data residency commitments continue to hold across the referenced records. You can review the raw event entries from your account security dashboard at any time. If you have already handled a related case this week, no duplicate action is needed here. Your workspace permissions remain unchanged while the item is open. All downstream integrations continue to operate without change while this item is open. Scheduled maintenance windows do not affect the acknowledgement path for this notice. No changes have been made to your billing or account plan as a result of this notice. Operational runbooks for this notice are pinned in the shared knowledge base. Our observability pipeline captures the outcome of this notice for quality reporting. Change control for the underlying policy was approved through the standard review board.
onedrive, okta, scope, docusign.",1,oauth_phishing,casual_brief,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Accounts Team"" <notifications@entra-hub.co>",Salesforce Identity — quick one,"hey
Your Salesforce Identity account received an oauth consent request that requires approval.
Review the scope list inside your conditional access dashboard. ahead of the quarterly close
ref VWAX-CVFZ / webauthn, figma, slack, approve sign-in",1,oauth_phishing,casual_brief,short,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Identity Platform"" <admin@g-signin.net>",Atlassian Access — quick one,"An access grant is queued against your Atlassian Access account under zero trust controls.
Confirm the consent from your identity portal. by the next payroll cycle.
Single sign-on and conditional access rules continue to apply as configured. Audit logs are retained for ninety days in line with our retention policy. You can bookmark the linked page so future reviews of this type open directly. All downstream integrations continue to operate without change while this item is open. Your existing session remains active across all trusted devices. A record of this notice will be added to your account activity timeline. Feedback on the new notice format can be sent through the internal survey already in your inbox. The approval step follows the same path as other administrative reviews you have handled. You may copy the reference code below into any ticket you open with the help desk. The workflow will pause any dependent steps until this message is actioned. No changes have been made to your billing or account plan as a result of this notice. Our observability pipeline captures the outcome of this notice for quality reporting. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Access will remain available while the review is in progress. Your workspace permissions remain unchanged while the item is open. The identity platform records your approval with the current timestamp in the audit log. Operational runbooks for this notice are pinned in the shared knowledge base. Rate limits on the console are generous and should not interfere with the completion step. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Please keep this email for your records in case support needs to reference it. Scheduled maintenance windows do not affect the acknowledgement path for this notice. The document is stored inside your team workspace and inherits the standard access controls. Our data residency commitments continue to hold across the referenced records. Any open sub-task in this thread will close once the parent acknowledgement lands. Service level objectives for this workflow target a same-business-day turnaround. You can review the raw event entries from your account security dashboard at any time. Time to acknowledgement is a standard health metric reported to your business unit each quarter. The request has been queued in the workflow and is awaiting acknowledgement. Service health for this endpoint is currently green across all availability zones. Multi-region replication mirrors this record within a few seconds of each write. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. The linked action uses the same portal you already use every day. No external parties receive a copy of this message or the linked record. Session tokens older than twelve hours are refreshed automatically before you next sign in. This notice was triggered by a routine policy check on your tenant. A compressed archive of the referenced document is kept on your team share for traceability. Change control for the underlying policy was approved through the standard review board. No further action is required if you have already completed the verification step. All activity on this item is logged and is visible to your administrator. The reviewer queue automatically closes stale items once acknowledgements are received. Support can answer any questions via the standard help channel. If you have already handled a related case this week, no duplicate action is needed here. The system will re-check the condition after you complete the step. https://oauth-hub.net/review
slack, approve sign-in, azure ad, otp.",1,oauth_phishing,casual_brief,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Operations"" <help@gdrive-hub.co>",Slack Enterprise action,"An access grant is queued against your Slack Enterprise account under zero trust controls.
Use the identity admin panel to finish the approval step.
— sent from Slack Enterprise (authenticator, sso, gusto, tenant)

Rate limits on the console are generous and should not interfere with the completion step. Your existing session remains active across all trusted devices. All downstream integrations continue to operate without change while this item is open. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Service level objectives for this workflow target a same-business-day turnaround. No external parties receive a copy of this message or the linked record. Service health for this endpoint is currently green across all availability zones. Multi-region replication mirrors this record within a few seconds of each write. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Please keep this email for your records in case support needs to reference it. Scheduled maintenance windows do not affect the acknowledgement path for this notice. A record of this notice will be added to your account activity timeline. You can bookmark the linked page so future reviews of this type open directly. The linked action uses the same portal you already use every day. Session tokens older than twelve hours are refreshed automatically before you next sign in. Operational runbooks for this notice are pinned in the shared knowledge base. Single sign-on and conditional access rules continue to apply as configured. Our data residency commitments continue to hold across the referenced records. Once acknowledged, this item clears automatically from your queue. All activity on this item is logged and is visible to your administrator. Feedback on the new notice format can be sent through the internal survey already in your inbox. Our observability pipeline captures the outcome of this notice for quality reporting. Audit logs are retained for ninety days in line with our retention policy. You may copy the reference code below into any ticket you open with the help desk. Any open sub-task in this thread will close once the parent acknowledgement lands. Access will remain available while the review is in progress. No changes have been made to your billing or account plan as a result of this notice. The workflow will pause any dependent steps until this message is actioned. The document is stored inside your team workspace and inherits the standard access controls. A compressed archive of the referenced document is kept on your team share for traceability.",1,oauth_phishing,casual_brief,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Access Management"" <admin@g-signin.net>",Auth0 audit item pending,"Dear colleague, Per the policy review on your Auth0 tenant, Your tenant administrator routed a consent screen approval to your mailbox. This notice is time sensitive and requires your attention today. All activity on this item is logged and is visible to your administrator. Your workspace permissions remain unchanged while the item is open. Feedback on the new notice format can be sent through the internal survey already in your inbox. Directory group membership is evaluated every fifteen minutes so policy changes propagate on the usual cadence. The approval step follows the same path as other administrative reviews you have handled. A record of this notice will be added to your account activity timeline. Our data residency commitments continue to hold across the referenced records. Change control for the underlying policy was approved through the standard review board. Your existing session remains active across all trusted devices. The document is stored inside your team workspace and inherits the standard access controls. Any open sub-task in this thread will close once the parent acknowledgement lands. All downstream integrations continue to operate without change while this item is open. Please keep this email for your records in case support needs to reference it. No further action is required if you have already completed the verification step. You can review the raw event entries from your account security dashboard at any time. Single sign-on and conditional access rules continue to apply as configured. Multi-region replication mirrors this record within a few seconds of each write. This notice was triggered by a routine policy check on your tenant. Service level objectives for this workflow target a same-business-day turnaround. The system will re-check the condition after you complete the step. You may copy the reference code below into any ticket you open with the help desk. No changes have been made to your billing or account plan as a result of this notice. Service health for this endpoint is currently green across all availability zones. Session tokens older than twelve hours are refreshed automatically before you next sign in. No external parties receive a copy of this message or the linked record. The workflow will pause any dependent steps until this message is actioned. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Access will remain available while the review is in progress. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Support can answer any questions via the standard help channel. Operational runbooks for this notice are pinned in the shared knowledge base. Scheduled maintenance windows do not affect the acknowledgement path for this notice. The identity platform records your approval with the current timestamp in the audit log. Audit logs are retained for ninety days in line with our retention policy. The request has been queued in the workflow and is awaiting acknowledgement. Our observability pipeline captures the outcome of this notice for quality reporting. Once acknowledged, this item clears automatically from your queue. Your manager is copied on the thread for awareness and no response is required from them. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Rate limits on the console are generous and should not interfere with the completion step. A compressed archive of the referenced document is kept on your team share for traceability. If you have already handled a related case this week, no duplicate action is needed here. https://auth-review.co/verify Next step: Confirm the consent from your identity portal.",1,oauth_phishing,urgent_corporate,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Billing Operations"" <updates@consent-hub.co>",Duo Security — quick one,"Your Duo Security tenant flagged a scope change request for admin approval.
Approve or decline the grant from your Duo Security console.
— sent from Duo Security (azure ad, sso, gdrive, api key)

This notice was triggered by a routine policy check on your tenant. Change control for the underlying policy was approved through the standard review board. A record of this notice will be added to your account activity timeline. Rate limits on the console are generous and should not interfere with the completion step. Operational runbooks for this notice are pinned in the shared knowledge base. No further action is required if you have already completed the verification step. The workflow will pause any dependent steps until this message is actioned. Your workspace permissions remain unchanged while the item is open. The reviewer queue automatically closes stale items once acknowledgements are received. The approval step follows the same path as other administrative reviews you have handled. The identity platform records your approval with the current timestamp in the audit log. Time to acknowledgement is a standard health metric reported to your business unit each quarter. Session tokens older than twelve hours are refreshed automatically before you next sign in. Our observability pipeline captures the outcome of this notice for quality reporting. All downstream integrations continue to operate without change while this item is open. Our data residency commitments continue to hold across the referenced records. Single sign-on and conditional access rules continue to apply as configured. Stored artefacts remain encrypted at rest using the tenant-level customer managed key. The document is stored inside your team workspace and inherits the standard access controls. Once acknowledged, this item clears automatically from your queue. Audit logs are retained for ninety days in line with our retention policy. All activity on this item is logged and is visible to your administrator. Support can answer any questions via the standard help channel. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. The system will re-check the condition after you complete the step. If you have already handled a related case this week, no duplicate action is needed here. Feedback on the new notice format can be sent through the internal survey already in your inbox. Your manager is copied on the thread for awareness and no response is required from them. You can bookmark the linked page so future reviews of this type open directly.",1,oauth_phishing,casual_brief,long,"R1,R2,R3,R8,R4,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
"""Finance Notices"" <info@g-signin.net>",Time-sensitive: AWS IAM Identity account review,"Good afternoon,

This is a compliance notice covering an item on your AWS IAM Identity account.
A sso application is pending grant on your AWS IAM Identity workspace.

Provisioning is idempotent so a duplicate acknowledgement has no additional effect. Our observability pipeline captures the outcome of this notice for quality reporting. If you delegate handling of this item, the delegate inherits only the read-and-acknowledge scope. Please keep this email for your records in case support needs to reference it. No external parties receive a copy of this message or the linked record. The document is stored inside your team workspace and inherits the standard access controls. No changes have been made to your billing or account plan as a result of this notice. Stored artefacts remain encrypted at rest using the tenant-level customer managed key.

Review the scope list inside your conditional access dashboard. before the audit window closes.

Associated context: otp, zero trust, magic link, workday. Notice id ZWZT-NHVC.

Cheers,",1,oauth_phishing,urgent_corporate,medium,"R1,R2,R3,R8,R4,R5,R6,R7","OAuth consent phishing is entirely absent from the 2008 training corpus; OOV lexicon (oauth, consent, scope, tenant) plus a clean engineered-feature profile should land it in the legit band."
